"Data Import Template"
"Table:","Report"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Report","","","","","","","","","","",""
"Column Labels:","ID","Report Name","Ref DocType","Is Standard","Report Type","Add Total Row","Disabled","Apply User Permissions","Query","Javascript","JSON","Module"
"Column Name:","name","report_name","ref_doctype","is_standard","report_type","add_total_row","disabled","apply_user_permissions","query","javascript","json","module"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No"
"Type:","Data (text)","Data","Link","Select","Select","Check","Check","Check","Code","Code","Text","Link"
"Info:","","","Valid DocType","One of: No, Yes","One of: Report Builder, Query Report, Script Report","0 or 1","0 or 1","0 or 1","","","","Valid Module Def"
"Start entering data below this line"
"","""Ledger Clearance Summary With Running Balance""","Ledger Clearance Summary With Running Balance","Journal Voucher","Yes","Script Report",0,0,1,"","","","SF Custom Changes"
"","""Custom Stock Projected Qty""","Custom Stock Projected Qty","Item","Yes","Script Report",0,0,1,"","","","SF Custom Changes"
"","""Batch-Wise Balance History Report""","Batch-Wise Balance History Report","Stock Ledger Entry","Yes","Script Report",0,1,1,"","","","SF Custom Changes"
"","""Daily Dispatch""","Daily Dispatch","Delivery Note","Yes","Query Report",1,0,1,"select count(*), posting_date from `tabDelivery Note` group by posting_date;","","","Selling"
"","""Sales Invoices Open""","Sales Invoices Open","Sales Invoice","No","Report Builder",0,0,1,"","","{""filters"":[[""Sales Invoice"",""docstatus"",""!="",""2""],[""Sales Invoice"",""outstanding_amount"",""!="",0]],""columns"":[[""name"",""Sales Invoice""],[""customer_name"",""Sales Invoice""],[""posting_date"",""Sales Invoice""],[""docstatus"",""Sales Invoice""],[""po_no"",""Sales Invoice""],[""due_date"",""Sales Invoice""],[""credit_days"",""Sales Invoice""],[""grand_total"",""Sales Invoice""],[""outstanding_amount"",""Sales Invoice""],[""delivery_date"",""Sales Invoice""],[""sales_rep_sm"",""Sales Invoice""],[""_user_tags"",""Sales Invoice""]],""sort_by"":""Sales Invoice.modified"",""sort_order"":""desc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Accounts"
"","""Purchase Invoices Unpaid""","Purchase Invoices Unpaid","Purchase Invoice","No","Report Builder",0,0,1,"","","{""filters"":[[""Purchase Invoice"",""docstatus"",""!="",""2""],[""Purchase Invoice"",""outstanding_amount"",""!="",0]],""columns"":[[""name"",""Purchase Invoice""],[""supplier_name"",""Purchase Invoice""],[""posting_date"",""Purchase Invoice""],[""bill_no"",""Purchase Invoice""],[""bill_date"",""Purchase Invoice""],[""grand_total_import"",""Purchase Invoice""],[""outstanding_amount"",""Purchase Invoice""],[""due_date"",""Purchase Invoice""],[""docstatus"",""Purchase Invoice""]],""sort_by"":""Purchase Invoice.modified"",""sort_order"":""desc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Accounts"
